PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;108;81;28079108_81_98;2023;01;01;0.67;V;1.1;V;0.98;V;1;V;0.82;V;0.68;V;0.7;V;0.55;V;1.07;V;0.65;V;0.85;V;0.72;V;1.07;V;0.82;V;0.95;V;0.5;V;0.52;V;0.23;V;0.47;V;0.72;V;0.57;V;0.35;V;0.3;V;0.4;V
28;079;108;81;28079108_81_98;2023;01;02;0.77;V;0.72;V;0.57;V;0.33;V;0.33;V;0.32;V;0.28;V;0.2;V;0.25;V;0.4;V;0.5;V;0.65;V;1.57;V;1;V;0.65;V;0.78;V;0.8;V;0.4;V;0.35;V;0.22;V;0.13;V;0.3;V;0.2;V;0.37;V
28;079;108;81;28079108_81_98;2023;01;03;0.3;V;0.5;V;0.45;V;0.17;V;0.68;V;0.38;V;0.33;V;0.4;V;0.37;V;0.08;V;0.62;V;1.13;V;1.12;V;0.88;V;0.85;V;0.55;V;0.6;V;0.38;V;0.17;V;0.1;V;0.1;V;0.18;V;0.02;V;0.13;V
28;079;108;81;28079108_81_98;2023;01;04;0.5;V;0.33;V;0.45;V;0.25;V;0.12;V;0.18;V;0.03;V;0.25;V;0.13;V;0.25;V;0.67;V;0.9;V;0.6;V;0.53;V;0.67;V;0.8;V;0.72;V;0.25;V;0.17;V;0.03;V;0.08;V;0.1;V;0;V;0.1;V
28;079;108;81;28079108_81_98;2023;01;05;0.18;V;0.28;V;0.2;V;0.25;V;0.1;V;0.18;V;0.4;V;0.15;V;0.18;V;0.52;V;1;V;1.28;V;0.8;V;0.58;V;0.92;V;0.93;V;0.87;V;0.35;V;0.17;V;0.22;V;0.02;V;0.02;V;0.1;V;0.35;V
28;079;108;81;28079108_81_98;2023;01;06;0.23;V;0.18;V;0.17;V;0.18;V;0.18;V;0.13;V;0.42;V;0.13;V;0.22;V;0.2;V;0.52;V;0.65;V;0.73;V;0.72;V;0.82;V;0.78;V;0.87;V;0.67;V;0.68;V;0.4;V;0.25;V;0.38;V;0.33;V;0.25;V
28;079;108;81;28079108_81_98;2023;01;07;0.35;V;0;V;0.32;V;0.2;V;0.25;V;0.12;V;0.5;V;0.57;V;0.52;V;0.58;V;0.77;V;0.78;V;0.75;V;0.47;V;0.45;V;0.47;V;0.35;V;0.48;V;0.37;V;0.13;V;0.48;V;0.25;V;0.23;V;0.4;V
28;079;108;81;28079108_81_98;2023;01;08;0.17;V;0.18;V;0.22;V;0.5;V;1.2;V;1.38;V;0.93;V;1;V;1.27;V;1.47;V;1.67;V;2.33;V;2.55;V;3.1;V;3.07;V;2.75;V;2.62;V;3.05;V;2.93;V;2.7;V;2.27;V;2.33;V;1.12;V;0.9;V
28;079;108;81;28079108_81_98;2023;01;09;0.62;V;0.78;V;0.5;V;0.65;V;2.32;V;3.07;V;2.03;V;1.3;V;0.95;V;1.1;V;4.1;V;2.35;V;3.32;V;2.43;V;2.68;V;2.48;V;1.63;V;1.82;V;1.1;V;1.13;V;0.7;V;0.22;V;0.28;V;0.32;V
28;079;108;81;28079108_81_98;2023;01;10;0.25;V;0.15;V;0.2;V;0.27;V;0.23;V;0.13;V;0.33;V;0.35;V;0.32;V;0.42;V;0.82;V;0.92;V;0.6;V;0.83;V;0.8;V;1.03;V;0.85;V;0.53;V;0.45;V;0.68;V;0.95;V;0.92;V;0.55;V;0.37;V
28;079;108;81;28079108_81_98;2023;01;11;0.47;V;0.53;V;0.52;V;0.52;V;0.77;V;0.6;V;0.58;V;0.35;V;0.42;V;0.4;V;0.33;V;0.58;V;0.47;V;0.4;V;0.4;V;0.55;V;0.87;V;0.68;V;0.8;V;0.62;V;0.23;V;0.45;V;0.45;V;0.28;V
28;079;108;81;28079108_81_98;2023;01;12;0.3;V;0.22;V;0.08;V;0.07;V;0.25;V;0.17;V;0.25;V;0.38;V;0.35;V;0.35;V;0.3;V;0.6;V;0.62;V;0.78;V;0.83;V;1.3;V;0.87;V;0.63;V;0.62;V;0.38;V;0.35;V;0.48;V;0.37;V;0.37;V
28;079;108;81;28079108_81_98;2023;01;13;0.25;V;0.45;V;0.43;V;0.53;V;0.62;V;0.9;V;0.83;V;0.65;V;0.65;V;0.72;V;0.73;V;0.78;V;0.63;V;0.67;V;0.68;V;0.8;V;0.72;V;0.57;V;0.28;V;0.2;V;0.13;V;0.43;V;0.25;V;0.18;V
28;079;108;81;28079108_81_98;2023;01;14;0.17;V;0.17;V;0.32;V;0.27;V;0.38;V;0.33;V;0.17;V;0.15;V;0.37;V;0.17;V;0.6;V;0.73;V;0.7;V;0.6;V;0.78;V;0.78;V;0.75;V;0.68;V;0.52;V;0.43;V;0.38;V;0.42;V;0.32;V;0.47;V
28;079;108;81;28079108_81_98;2023;01;15;0.5;V;0.62;V;0.52;V;0.4;V;0.6;V;0.73;V;0.82;V;0.68;V;0.72;V;0.57;V;0.83;V;0.95;V;1.13;V;2.25;V;2.47;V;2.37;V;2.5;V;3.18;V;1.62;V;1.73;V;1.93;V;1.28;V;1.52;V;1.42;V
28;079;108;81;28079108_81_98;2023;01;16;0.88;V;1.32;V;2.53;V;1.73;V;0.97;V;0.85;V;1.37;V;1.93;V;1.95;V;2.38;V;2.68;V;2.78;V;3.27;V;3.37;V;2.9;V;2.55;V;2.77;V;2.42;V;3.02;V;2.72;V;2.83;V;2.63;V;3.03;V;3.4;V
28;079;108;81;28079108_81_98;2023;01;17;2.97;V;3.43;V;3.47;V;3.98;V;3.25;V;3.18;V;2.87;V;3.95;V;4.45;V;4.18;V;5.1;V;4.65;V;5.27;V;4.78;V;5.42;V;4.77;V;4.63;V;3.3;V;4.03;V;3.25;V;3.9;V;3.22;V;1.77;V;1.98;V
28;079;108;81;28079108_81_98;2023;01;18;2.93;V;1.9;V;2.88;V;2.28;V;2.63;V;2.8;V;1.98;V;2.67;V;2.95;V;2.43;V;2.23;V;2.23;V;1.3;V;2.37;V;2.63;V;3.42;V;2.98;V;2.65;V;0.98;V;1.23;V;0.6;V;0.73;V;1.13;V;1.68;V
28;079;108;81;28079108_81_98;2023;01;19;1.67;V;1.63;V;1.1;V;0.8;V;2.12;V;1.03;V;0.78;V;0.87;V;1.53;V;1.87;V;2.78;V;3.05;V;2.83;V;2.63;V;2.77;V;2.88;V;2.33;V;1.6;V;1.5;V;1.38;V;1.8;V;1.35;V;1.72;V;2.45;V
28;079;108;81;28079108_81_98;2023;01;20;2.58;V;2.08;V;1.25;V;1.95;V;0.83;V;1.42;V;1.38;V;0.92;V;0.45;V;0.38;V;0.7;V;0.72;V;1.07;V;1.25;V;1.4;V;1.33;V;1.35;V;1.83;V;0.97;V;0.73;V;0.55;V;0.35;V;0.28;V;0.35;V
28;079;108;81;28079108_81_98;2023;01;21;0.62;V;0.33;V;0.22;V;0.68;V;0.45;V;0.35;V;0.27;V;0.28;V;0.32;V;0.52;V;0.48;V;1.42;V;1.98;V;1.72;V;1.47;V;1.45;V;1.67;V;1.58;V;1.78;V;1.63;V;1.8;V;1.38;V;1.27;V;1.57;V
28;079;108;81;28079108_81_98;2023;01;22;1.42;V;1.67;V;1.03;V;0.77;V;0.75;V;0.57;V;0.43;V;0.47;V;0.37;V;0.7;V;1.48;V;1.17;V;1.37;V;1.15;V;1.67;V;2.22;V;2.1;V;1.58;V;1.02;V;0.72;V;0.33;V;0.25;V;0.67;V;0.45;V
28;079;108;81;28079108_81_98;2023;01;23;0.25;V;0.57;V;0.28;V;0.3;V;0.12;V;0.35;V;0.4;V;0.28;V;0.33;V;0.38;V;0.72;V;0.93;V;0.72;V;1.13;V;1.68;V;1.88;V;1.9;V;1.98;V;2.5;V;1.72;V;1.48;V;1.27;V;0.62;V;0.88;V
28;079;108;81;28079108_81_98;2023;01;24;0.68;V;0.52;V;0.38;V;0.28;V;0.42;V;0.45;V;0.45;V;0.57;V;0.62;V;0.72;V;1.12;V;1.62;V;1.43;V;1.58;V;1.57;V;1.72;V;1.43;V;1.55;V;1.12;V;1.02;V;0.95;V;0.72;V;0.55;V;1.04;V
28;079;108;81;28079108_81_98;2023;01;25;1.28;V;1.17;V;1.43;V;0.67;V;0.88;V;1.02;V;0.97;V;1.13;V;1;V;0.93;V;1.32;V;1.62;V;1.33;V;1.05;V;0.98;V;0.82;V;0.75;V;0.7;V;1.08;V;0.52;V;0.4;V;0.28;V;0.5;V;0.48;V
28;079;108;81;28079108_81_98;2023;01;26;0.82;V;1.15;V;0.53;V;0.62;V;0.35;V;0.45;V;0.52;V;0.42;V;0.27;V;0.3;V;0.67;V;0.7;V;1.13;V;1.43;V;1.03;V;1.15;V;1.53;V;1.55;V;0.93;V;1.03;V;0.73;V;0.32;V;0.47;V;0.58;V
28;079;108;81;28079108_81_98;2023;01;27;0.45;V;0.4;V;0.48;V;0.32;V;0.43;V;0.3;V;0.52;V;0.27;V;0.37;V;0.62;V;1.15;V;2.65;V;2.8;V;3.08;V;2.98;V;3.13;V;2.53;V;2.58;V;2.52;V;2.08;V;1.63;V;1.1;V;1.6;V;1.3;V
28;079;108;81;28079108_81_98;2023;01;28;0.83;V;0.8;V;0.92;V;0.73;V;0.78;V;0.53;V;0.23;V;0.43;V;0.25;V;0.2;V;0.82;V;0.73;V;1.92;V;2.32;V;1.7;V;1.73;V;1.63;V;1.72;V;1.33;V;0.97;V;1.2;V;1.37;V;0.37;V;0.53;V
28;079;108;81;28079108_81_98;2023;01;29;0.8;V;0.65;V;0.52;V;0.37;V;0.13;V;0.22;V;0.23;V;0.15;V;0.6;V;0.6;V;1.15;V;1.78;V;2.03;V;1.78;V;1.78;V;1.7;V;1.75;V;1.43;V;0.85;V;0.72;V;0.95;V;1.25;V;1.15;V;0.67;V
28;079;108;81;28079108_81_98;2023;01;30;0.78;V;0.55;V;0.98;V;1.05;V;0.88;V;0.75;V;0.57;V;0.72;V;0.68;V;0.98;V;1.1;V;0.55;V;0.87;V;0.93;V;0.87;V;0.88;V;0.77;V;0.72;V;0.52;V;0.25;V;0.25;V;0.27;V;0.1;V;0.13;V
28;079;108;81;28079108_81_98;2023;01;31;0.22;V;0.3;V;0.42;V;0.1;V;0.15;V;0.4;V;0.38;V;0.22;V;0.32;V;0.42;V;0.68;V;0.58;V;0.5;V;0.7;V;0.67;V;0.9;V;0.77;V;0.68;V;0.15;V;0.02;V;0;V;0.25;V;0.32;V;0.27;V
28;079;108;82;28079108_82_98;2023;01;01;66;V;75;V;82;V;79;V;92;V;55;V;68;V;47;V;76;V;101;V;43;V;46;V;50;V;71;V;94;V;77;V;160;V;140;V;40;V;77;V;26;V;245;V;21;V;223;V
28;079;108;82;28079108_82_98;2023;01;02;240;V;186;V;166;V;152;V;226;V;56;V;8;V;224;V;235;V;183;V;219;V;152;V;82;V;65;V;80;V;107;V;193;V;133;V;218;V;176;V;220;V;179;V;97;V;84;V
28;079;108;82;28079108_82_98;2023;01;03;39;V;30;V;32;V;240;V;227;V;259;V;262;V;250;V;243;V;257;V;53;V;71;V;49;V;41;V;93;V;207;V;166;V;181;V;241;V;221;V;247;V;235;V;271;V;44;V
28;079;108;82;28079108_82_98;2023;01;04;78;V;210;V;85;V;128;V;48;V;85;V;266;V;243;V;12;V;253;V;89;V;101;V;100;V;168;V;222;V;214;V;205;V;190;V;2;V;27;V;257;V;245;V;314;V;250;V
28;079;108;82;28079108_82_98;2023;01;05;250;V;244;V;92;V;4;V;246;V;33;V;217;V;246;V;262;V;99;V;92;V;124;V;42;V;30;V;220;V;219;V;221;V;192;V;178;V;250;V;242;V;327;V;49;V;257;V
28;079;108;82;28079108_82_98;2023;01;06;256;V;252;V;256;V;65;V;247;V;250;V;118;V;232;V;242;V;246;V;245;V;246;V;230;V;218;V;201;V;142;V;226;V;219;V;199;V;200;V;216;V;203;V;228;V;243;V
28;079;108;82;28079108_82_98;2023;01;07;242;V;229;V;246;V;246;V;248;V;295;V;203;V;35;V;32;V;17;V;41;V;75;V;42;V;12;V;236;V;26;V;40;V;221;V;222;V;236;V;27;V;41;V;10;V;230;V
28;079;108;82;28079108_82_98;2023;01;08;233;V;241;V;265;V;198;V;221;V;252;V;206;V;199;V;199;V;195;V;191;V;221;V;216;V;206;V;213;V;203;V;217;V;214;V;232;V;227;V;224;V;246;V;199;V;167;V
