PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;102;81;28079102_81_98;2022;02;15;1.38;V;1.18;V;0.82;V;1.48;V;1.45;V;0.92;V;0.6;V;0.4;V;0.43;V;0.53;V;0.6;V;1.25;V;1.47;V;1.55;V;2.63;V;2.62;V;2.65;V;2.37;V;2.42;V;1.87;V;1.77;V;2.28;V;1.88;V;1.28;V
28;079;102;81;28079102_81_98;2022;02;16;1.43;V;2.27;V;0.98;V;0.63;V;0.27;V;0.3;V;0.55;V;0.58;V;0.93;V;1.32;V;1;V;1.38;V;1.67;V;1.92;V;1.87;V;2.12;V;4.22;V;4.92;V;3.35;V;2.57;V;2.62;V;2.12;V;0.72;V;0.65;V
28;079;102;81;28079102_81_98;2022;02;17;0.7;V;0.5;V;0.53;V;0.58;V;0.62;V;1.18;V;1.18;V;0.8;V;0.95;V;1.38;V;1.22;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;102;81;28079102_81_98;2022;02;20;2.58;N;1.68;V;1.3;V;1.3;V;0.98;V;0.88;V;0.45;V;0.62;V;0.65;V;1.35;V;1.78;V;1.83;V;1.38;V;1.5;V;1.17;V;1.18;V;1.13;V;0.67;V;0.45;V;0.27;V;0.9;V;1.65;V;1.62;V;0.87;V
28;079;102;81;28079102_81_98;2022;02;21;1.25;V;1.12;V;1.27;V;1.73;V;2.17;V;0.53;V;0.82;V;0.95;V;1.77;V;0.98;V;0.68;V;0.68;V;1.08;V;1.17;V;1.38;V;1.25;V;1.83;V;2.2;V;2.57;V;2.77;V;2.48;V;1.88;V;1.37;V;2.13;V
28;079;102;81;28079102_81_98;2022;02;22;2.28;V;2.28;V;2.62;V;2.48;V;1.92;V;3.4;V;2.88;V;2.95;V;3.17;V;3.27;V;2.57;V;2.48;V;2.3;V;1.92;V;1.38;V;1.92;V;1.68;V;2.27;V;1.85;V;1.85;V;2.5;V;2.67;V;2.35;V;1.9;V
28;079;102;81;28079102_81_98;2022;02;23;2.22;V;1.7;V;1.37;V;1.95;V;1.92;V;1.55;V;3.33;V;2.85;V;2.08;V;2.27;V;1.65;V;1.5;V;1.33;V;1.6;V;1.28;V;1.4;V;0.57;V;0.75;V;0.63;V;0.25;V;1.3;V;1.6;V;1.08;V;1.13;V
28;079;102;81;28079102_81_98;2022;02;24;1.22;V;0.98;V;1.15;V;0.87;V;0.9;V;1.15;V;0.95;V;1.18;V;1.55;V;1.58;V;1.32;V;0.68;V;0.68;V;1.28;V;1.6;V;1.47;V;0.87;V;0.85;V;0.77;V;0.38;V;1.18;V;1.5;V;2.8;V;3.25;V
28;079;102;81;28079102_81_98;2022;02;25;4.33;V;4.6;V;3.62;V;2.3;V;2.28;V;2.6;V;2.9;V;4.02;V;3.58;V;3.45;V;2.47;V;2.97;V;2.85;V;3.13;V;2.47;V;1.93;V;2.63;V;1.82;V;1.28;V;1.15;V;1.47;V;1.92;V;2.6;V;1.98;V
28;079;102;81;28079102_81_98;2022;02;26;1.7;V;2.58;V;3.02;V;3.02;V;2.77;V;2.62;V;3.18;V;3.58;V;3.55;V;3.45;V;2.95;V;2.7;V;2.4;V;1.93;V;1.58;V;2.75;V;2;V;2.15;V;3.08;V;2.62;V;2.15;V;1.92;V;2.35;V;2.23;V
28;079;102;81;28079102_81_98;2022;02;27;1.88;V;1.52;V;1.63;V;1.9;V;2.17;V;1.37;V;1.33;V;1.3;V;1.42;V;0.8;V;0.93;V;0.77;V;1.48;V;1.77;V;1.38;V;1.22;V;1.28;V;0.88;V;0.88;V;0.63;V;0.52;V;0.67;V;0.83;V;0.28;V
28;079;102;81;28079102_81_98;2022;02;28;0.05;V;0.72;V;0.92;V;0.68;V;0.53;V;0.92;V;1.18;V;1.32;V;0.85;V;1.27;V;1.45;V;0.88;V;1.07;V;1.57;V;1.53;V;1.47;V;1.62;V;1.42;V;1.52;V;1.37;V;1.23;V;0.97;V;1.03;V;0.57;V
28;079;102;82;28079102_82_98;2022;02;01;9;V;31;V;12;V;7;V;7;V;0;V;18;V;21;V;32;V;41;V;8;V;35;V;27;V;44;V;64;V;75;V;67;V;65;V;40;V;61;V;78;V;76;V;77;V;54;V
28;079;102;82;28079102_82_98;2022;02;02;58;V;1;V;5;V;81;V;23;V;37;V;1;V;42;V;17;V;6;V;69;V;7;V;15;V;11;V;93;V;68;V;239;V;244;V;229;V;129;V;136;V;140;V;108;V;33;V
28;079;102;82;28079102_82_98;2022;02;03;84;V;4;V;70;V;47;V;69;V;43;V;56;V;58;V;74;V;41;V;83;V;100;V;82;V;154;V;145;V;184;V;194;V;251;V;258;V;245;V;254;V;258;V;156;V;188;V
28;079;102;82;28079102_82_98;2022;02;04;61;V;140;V;117;V;125;V;179;V;72;V;68;V;68;V;73;V;65;V;95;V;72;V;39;V;152;V;206;V;202;V;191;V;217;V;224;V;232;V;245;V;248;V;271;V;122;V
28;079;102;82;28079102_82_98;2022;02;05;89;V;76;V;75;V;57;V;53;V;36;V;53;V;57;V;53;V;42;V;39;V;47;V;50;V;82;V;79;V;94;V;56;V;44;V;42;V;71;V;72;V;38;V;51;V;49;V
28;079;102;82;28079102_82_98;2022;02;06;65;V;68;V;72;V;45;V;34;V;46;V;64;V;30;V;22;V;26;V;2;V;68;V;71;V;44;V;21;V;67;V;50;V;72;V;62;V;82;V;31;V;312;V;14;V;35;V
28;079;102;82;28079102_82_98;2022;02;07;26;V;43;V;40;V;63;V;35;V;76;V;15;V;9;V;60;V;24;V;41;V;75;V;63;V;51;V;15;V;29;V;21;V;26;V;64;V;42;V;44;V;23;V;52;V;80;V
28;079;102;82;28079102_82_98;2022;02;08;84;V;55;V;54;V;62;V;55;V;31;V;48;V;39;V;52;V;45;V;48;V;66;V;57;V;81;V;80;V;65;V;92;V;69;V;45;V;58;V;74;V;103;V;110;V;61;V
28;079;102;82;28079102_82_98;2022;02;09;77;V;37;V;42;V;46;V;55;V;68;V;67;V;5;V;44;V;36;V;49;V;67;V;108;V;84;V;117;V;155;V;184;V;156;V;192;V;244;V;275;V;254;V;105;V;124;V
28;079;102;82;28079102_82_98;2022;02;10;83;V;93;V;21;V;43;V;8;V;66;V;45;V;43;V;23;V;35;V;57;V;49;V;39;V;147;V;202;V;256;V;261;V;257;V;269;V;269;V;274;V;262;V;252;V;72;V
