PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;4;1;2023;3;1;2;V;1;V;2;V;2;V;2;V;2;V;2;V;7;V;7;V;6;V;6;V;4;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;4;V;6;V;3;V
28;79;4;1;2023;3;2;2;V;2;V;2;V;2;V;2;V;1;V;2;V;5;V;7;V;8;V;5;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;3;V
28;79;4;1;2023;3;3;2;V;3;V;2;V;2;V;2;V;2;V;2;V;4;V;7;V;6;V;7;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;3;V
28;79;4;1;2023;3;4;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;4;V;4;V;3;V;3;V
28;79;4;1;2023;3;5;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;4;V;4;V;5;V;3;V;3;V;4;V;2;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V
28;79;4;1;2023;3;6;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;4;1;2023;3;7;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;4;1;2023;3;8;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;4;1;2023;3;9;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;10;N;10;N;325;N;1;N;1;N;1;N;1;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V
28;79;4;1;2023;3;10;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
