PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;102;81;2023;2;27;4.02;V;3.92;V;3.82;V;3.28;V;3.68;V;4.23;V;2.57;V;1.9;V;2.22;V;3.93;V;2.95;V;3.58;V;3.65;V;3.58;V;4.05;V;3.28;V;2.88;V;2.72;V;4.08;V;2.85;V;2.95;V;3.45;V;3.33;V;2.93;V
28;79;102;81;2023;2;28;3.35;V;2.33;V;1.8;V;1.08;V;0.42;V;0.98;V;0.33;V;0.72;V;1.58;V;1.57;V;1.88;V;1.13;V;0.82;V;0.95;V;1.48;V;1.1;V;2.55;V;4.2;V;4.13;V;3.77;V;3.37;V;3.9;V;2.88;V;3.02;V
28;79;102;82;2023;2;1;61;V;69;V;68;V;60;V;56;V;25;V;24;V;33;V;26;V;20;V;15;V;57;V;57;V;78;V;75;V;81;V;106;V;98;V;165;V;172;V;159;V;249;V;292;V;0;V
28;79;102;82;2023;2;2;30;V;44;V;62;V;59;V;53;V;48;V;39;V;54;V;68;V;53;V;59;V;30;V;5;V;62;V;46;V;108;V;180;V;175;V;169;V;158;V;179;V;250;V;276;V;288;V
28;79;102;82;2023;2;3;5;V;26;V;22;V;12;V;37;V;6;V;0;V;17;V;1;V;33;V;59;V;40;V;29;V;46;V;1;V;7;V;32;V;44;V;59;V;190;V;158;V;265;V;269;V;23;V
28;79;102;82;2023;2;4;10;V;32;V;43;V;40;V;28;V;9;V;26;V;15;V;16;V;47;V;59;V;43;V;64;V;108;V;202;V;222;V;216;V;250;V;249;V;287;V;2;V;16;V;65;V;34;V
28;79;102;82;2023;2;5;18;V;62;V;26;V;44;V;70;V;56;V;66;V;75;V;53;V;44;V;52;V;69;V;55;V;59;V;65;V;35;V;70;V;70;V;343;V;12;V;343;V;0;V;37;V;44;V
28;79;102;82;2023;2;6;53;V;39;V;2;V;46;V;14;V;30;V;21;V;87;V;70;V;14;V;98;V;77;V;81;V;74;V;57;V;65;V;77;V;95;V;68;V;84;V;105;V;79;V;76;V;84;V
28;79;102;82;2023;2;7;63;V;72;V;66;V;54;V;59;V;32;V;52;V;43;V;12;V;87;V;79;V;70;V;15;V;8;V;72;V;62;V;89;V;63;V;75;V;158;V;69;V;80;V;80;V;77;V
28;79;102;82;2023;2;8;70;V;63;V;50;V;63;V;73;V;60;V;61;V;51;V;49;V;64;V;30;V;43;V;51;V;69;V;82;V;62;V;70;V;80;V;76;V;53;V;104;V;68;V;60;V;57;V
28;79;102;82;2023;2;9;13;V;48;V;78;V;1;V;13;V;9;V;24;V;54;V;44;V;111;V;81;V;89;V;40;V;70;V;6;V;15;V;81;V;47;V;69;V;91;V;111;V;108;V;123;V;85;V
28;79;102;82;2023;2;10;72;V;67;V;59;V;83;V;59;V;78;V;74;V;66;V;52;V;72;V;77;V;49;V;65;V;115;V;93;V;79;V;85;V;89;V;79;V;101;V;102;V;108;V;104;V;80;V
28;79;102;82;2023;2;11;85;V;87;V;89;V;78;V;61;V;65;V;51;V;49;V;38;V;60;V;64;V;64;V;70;V;94;V;104;V;90;V;102;V;100;V;105;V;140;V;133;V;119;V;102;V;114;V
28;79;102;82;2023;2;12;104;V;96;V;76;V;65;V;65;V;68;V;48;V;54;V;53;V;27;V;58;V;62;V;83;V;105;V;85;V;89;V;59;V;117;V;107;V;121;V;115;V;128;V;114;V;111;V
28;79;102;82;2023;2;13;74;V;59;V;56;V;21;V;60;V;62;V;61;V;32;V;29;V;65;V;81;V;84;V;84;V;92;V;70;V;86;V;94;V;95;V;87;V;96;V;101;V;97;V;96;V;74;V
28;79;102;82;2023;2;14;50;V;58;V;46;V;59;V;68;V;66;V;67;V;75;V;79;V;75;V;70;V;73;V;65;V;99;V;99;V;91;V;81;V;116;V;115;V;102;V;97;V;76;V;65;V;79;V
28;79;102;82;2023;2;15;81;V;74;V;75;V;65;V;72;V;58;V;70;V;63;V;60;V;74;V;68;V;69;V;82;V;94;V;59;V;25;V;58;V;8;V;90;V;17;V;14;V;27;V;16;V;100;V
28;79;102;82;2023;2;16;82;V;43;V;40;V;36;V;58;V;47;V;54;V;55;V;23;V;10;V;24;V;77;V;53;V;55;V;72;V;77;V;74;V;29;V;81;V;67;V;41;V;65;V;68;V;59;V
28;79;102;82;2023;2;17;62;V;54;V;57;V;58;V;36;V;43;V;42;V;40;V;48;V;79;V;71;V;68;V;58;V;81;V;80;V;82;V;75;V;65;V;67;V;67;V;59;V;71;V;81;V;112;V
