PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;4;1;2021;8;1;13;N;9;V;9;V;9;V;9;V;9;V;9;V;9;V;9;V;9;V;9;V;9;V;9;V;8;V;8;V;7;V;7;V;5;V;6;V;6;V;6;V;7;V;8;V;8;V
28;79;4;1;2021;8;2;8;V;9;V;9;V;9;V;9;V;10;V;9;V;10;V;10;V;9;V;9;V;9;V;8;V;8;V;6;V;6;V;6;V;5;V;5;V;5;V;5;V;6;V;10;N;9;N
28;79;4;1;2021;8;3;8;V;8;V;8;V;8;V;8;V;8;V;8;V;9;V;10;V;9;V;9;V;9;V;8;V;7;V;6;V;6;V;6;V;6;V;5;V;6;V;5;V;6;V;7;V;7;V
28;79;4;1;2021;8;4;7;V;8;V;7;V;7;V;8;V;8;V;8;V;8;V;9;V;8;V;8;V;8;V;7;V;6;V;5;V;6;V;6;V;5;V;6;V;6;V;6;V;5;V;7;V;7;V
28;79;4;1;2021;8;5;8;V;8;V;8;V;8;V;8;V;8;V;8;V;9;V;10;V;9;V;8;V;8;V;7;V;6;V;6;V;6;V;6;V;6;V;6;N;0;N;0;N;0;N;0;N;0;N
28;79;4;1;2021;8;6;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;3;N;9;V;9;V;9;V;8;V;7;V;6;V;7;V;7;V;6;V;6;V;6;V;6;V;6;V;7;V;8;V
28;79;4;1;2021;8;7;8;V;8;V;9;V;9;V;9;V;9;V;9;V;10;V;9;V;9;V;9;V;8;V;8;V;8;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;8;V;8;V
28;79;4;1;2021;8;8;8;V;9;V;9;V;9;V;9;V;9;V;10;V;10;V;11;V;10;V;9;V;8;V;8;V;8;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;7;V;7;V;9;V
28;79;4;1;2021;8;9;9;V;9;V;12;N;12;N;10;V;9;V;10;V;9;V;9;V;10;V;8;N;8;V;8;V;7;V;6;V;6;V;6;V;7;V;6;V;6;V;6;V;6;V;7;V;8;V
28;79;4;1;2021;8;10;8;V;8;V;8;V;8;V;9;V;9;V;9;V;10;V;10;V;9;V;8;V;8;V;7;V;7;V;6;V;7;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;7;V
28;79;4;1;2021;8;11;8;V;8;V;9;V;9;V;9;V;9;V;9;V;10;V;11;V;10;V;9;V;8;V;7;V;6;V;7;V;7;V;7;V;7;V;7;V;7;V;6;V;6;V;7;V;7;V
28;79;4;1;2021;8;12;8;V;8;V;8;V;8;V;8;V;9;V;9;V;9;V;9;V;9;V;8;V;7;V;7;V;6;V;6;V;7;V;7;V;8;V;9;V;9;V;8;V;6;V;7;V;7;V
28;79;4;1;2021;8;13;8;V;8;V;8;V;8;V;8;V;9;V;9;V;10;N;10;N;11;N;9;N;8;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;79;4;1;2021;8;16;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;1;N;11;N;10;N;9;N;8;V;7;V;7;V;8;V;8;V;8;V;8;V;7;V;7;V;7;V;7;V;9;V
28;79;4;1;2021;8;17;9;V;9;V;9;V;9;V;9;V;9;V;9;V;10;V;10;V;9;N;9;V;9;V;9;V;8;V;7;V;7;V;7;V;7;V;7;V;7;V;7;V;7;V;8;V;8;V
28;79;4;1;2021;8;18;9;V;9;V;9;V;9;V;9;V;9;V;9;V;10;V;9;V;10;V;9;V;9;V;9;V;8;V;7;V;7;V;7;V;6;V;6;V;6;V;6;V;7;V;8;V;8;V
28;79;4;1;2021;8;19;9;V;9;V;9;V;9;V;9;V;9;V;10;V;11;N;13;N;11;N;12;N;12;N;10;N;7;V;7;V;7;V;7;V;7;V;6;V;6;V;6;V;7;V;8;V;8;V
28;79;4;1;2021;8;20;9;V;9;V;9;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;9;V;8;V;8;V;7;V;7;V;6;V;7;V;6;V;6;V;6;V;7;V;8;V;8;V
28;79;4;1;2021;8;21;8;V;9;V;9;V;10;V;10;V;10;V;10;V;10;V;11;N;10;N;9;V;9;V;8;V;7;V;6;V;7;V;6;V;6;V;7;V;6;V;6;V;7;V;8;V;8;V
28;79;4;1;2021;8;22;9;V;9;V;9;V;9;V;9;V;10;V;10;V;10;V;10;V;10;V;9;V;9;V;8;V;7;V;7;V;7;V;7;V;7;V;6;V;5;V;5;V;6;V;8;V;8;V
28;79;4;1;2021;8;23;9;V;8;V;8;V;8;V;8;V;9;V;9;V;9;V;9;V;10;V;13;N;8;V;7;V;7;V;7;V;7;V;7;V;6;V;6;V;7;V;6;V;8;V;8;V;8;V
28;79;4;1;2021;8;24;9;V;9;V;9;V;9;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;9;V;8;V;7;V;7;V;7;V;7;V;7;V;6;V;7;V;7;V;7;V;8;V;9;V
28;79;4;1;2021;8;25;9;V;9;V;9;V;10;V;10;V;10;V;10;V;11;V;11;V;11;V;10;V;9;V;8;V;8;V;7;V;7;V;8;V;7;V;7;V;7;V;8;V;9;V;9;V;9;V
28;79;4;1;2021;8;26;9;V;9;V;9;V;10;V;10;V;10;V;11;V;11;V;13;N;13;N;10;V;10;V;9;V;7;V;7;V;7;V;7;V;7;V;7;V;7;V;7;V;8;V;9;V;9;V
28;79;4;1;2021;8;27;9;V;10;V;10;V;10;V;10;V;10;V;11;V;11;V;12;N;12;N;10;V;9;V;9;V;8;V;7;V;7;V;7;V;6;V;6;V;6;V;6;V;7;V;8;V;8;V
28;79;4;1;2021;8;28;9;V;9;V;9;V;9;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;9;V;9;N;6;N;8;V;7;V;7;V;7;V;7;V;7;V;7;V;7;V;9;V;9;V
28;79;4;1;2021;8;29;9;V;9;V;9;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;9;V;9;V;8;V;7;V;7;V;8;V;8;V;6;V;6;V;7;V;7;V;8;V;9;V
28;79;4;1;2021;8;30;9;V;10;V;10;V;10;V;10;V;11;V;10;V;10;V;11;V;11;V;11;V;10;V;9;V;8;V;8;V;8;V;8;V;8;V;7;V;7;V;7;V;8;V;9;V;9;V
